GEO_ID	NAME	ZIP	S1901_C01_012E	S1901_C01_012M	S1901_C01_013E	S1901_C01_013M
id	Geographic Area Name	Zip Code	Estimate!!Households!!Median income (dollars)	Margin of Error!!Households MOE!!Median income (dollars)	Estimate!!Households!!Mean income (dollars)	Margin of Error!!Households MOE!!Mean income (dollars)
8600000US27562	ZCTA5 27562	27562	54693	10443	82078	16047
8600000US27563	ZCTA5 27563	27563	33934	6094	46235	5355
8600000US27565	ZCTA5 27565	27565	47056	3726	62425	3930
8600000US27568	ZCTA5 27568	27568	45263	7635	55415	10150
8600000US27569	ZCTA5 27569	27569	43958	7411	55551	5131
8600000US27571	ZCTA5 27571	27571	112425	16414	113056	11422
8600000US27572	ZCTA5 27572	27572	72155	11278	81908	7568
8600000US27573	ZCTA5 27573	27573	32726	2658	46540	6206
8600000US27574	ZCTA5 27574	27574	50483	5614	64515	6473
8600000US27576	ZCTA5 27576	27576	38676	3756	51578	3226
8600000US27577	ZCTA5 27577	27577	46508	5073	57560	3373
8600000US27581	ZCTA5 27581	27581	63667	5064	77385	9325
8600000US27582	ZCTA5 27582	27582	-	**	51238	34426
8600000US27583	ZCTA5 27583	27583	58274	8169	67973	6401
8600000US27587	ZCTA5 27587	27587	92878	3882	116012	5204
8600000US27589	ZCTA5 27589	27589	33585	3106	48136	7674
8600000US27591	ZCTA5 27591	27591	62651	3567	73803	5328
8600000US27592	ZCTA5 27592	27592	67820	10735	77440	4835
8600000US27596	ZCTA5 27596	27596	70535	4832	86620	6278
8600000US27597	ZCTA5 27597	27597	58514	4109	74912	4167
8600000US27601	ZCTA5 27601	27601	36781	5167	67375	8823
8600000US27603	ZCTA5 27603	27603	64087	2574	80942	3264
8600000US27604	ZCTA5 27604	27604	58626	2743	71624	3196
8600000US27605	ZCTA5 27605	27605	62479	14079	98374	12000
8600000US27606	ZCTA5 27606	27606	51959	2745	77327	3813
8600000US27607	ZCTA5 27607	27607	77092	6113	114379	7594
8600000US27608	ZCTA5 27608	27608	107875	7457	163713	14223
8600000US27609	ZCTA5 27609	27609	58983	1996	91596	4313
8600000US27610	ZCTA5 27610	27610	50092	2943	60277	2260
8600000US27612	ZCTA5 27612	27612	76765	3329	102303	3214
8600000US27613	ZCTA5 27613	27613	96185	3760	119807	4816
8600000US27614	ZCTA5 27614	27614	106469	6856	147278	8554
8600000US27615	ZCTA5 27615	27615	82214	4161	119372	5268
8600000US27616	ZCTA5 27616	27616	68084	3647	78140	3150
8600000US27617	ZCTA5 27617	27617	83309	3642	132951	20122
8600000US27701	ZCTA5 27701	27701	36606	2621	61999	3568
8600000US27703	ZCTA5 27703	27703	60438	3631	76827	4828
8600000US27704	ZCTA5 27704	27704	46720	2420	56883	2934
8600000US27705	ZCTA5 27705	27705	52256	2572	84409	4819
8600000US27707	ZCTA5 27707	27707	51851	2675	81142	4115
8600000US27709	ZCTA5 27709	27709	127125	85925	206626	144610
8600000US27712	ZCTA5 27712	27712	83418	5632	102156	6475
8600000US27713	ZCTA5 27713	27713	74077	4611	93949	4148
8600000US27801	ZCTA5 27801	27801	32346	4219	43854	4371
8600000US27803	ZCTA5 27803	27803	47843	3746	69284	6116
8600000US27804	ZCTA5 27804	27804	51385	3890	69498	4801
8600000US27805	ZCTA5 27805	27805	38583	4671	46810	5191
8600000US27806	ZCTA5 27806	27806	37582	5497	56095	13037
8600000US27807	ZCTA5 27807	27807	45422	5386	56680	7219
8600000US27808	ZCTA5 27808	27808	48079	10689	79632	20223
8600000US27809	ZCTA5 27809	27809	47940	4999	75360	18674
8600000US27810	ZCTA5 27810	27810	40125	10425	50349	6481
8600000US27812	ZCTA5 27812	27812	38944	7331	51220	7066
8600000US27813	ZCTA5 27813	27813	35625	9761	49466	9377
8600000US27814	ZCTA5 27814	27814	51250	11058	56203	6990
8600000US27816	ZCTA5 27816	27816	44787	3693	64142	11988
8600000US27817	ZCTA5 27817	27817	50526	7156	63659	7063
8600000US27818	ZCTA5 27818	27818	32667	13932	40123	12030
8600000US27819	ZCTA5 27819	27819	30865	19122	40899	9983
8600000US27820	ZCTA5 27820	27820	39839	9473	49179	7845
8600000US27821	ZCTA5 27821	27821	14375	12868	22817	11010
8600000US27822	ZCTA5 27822	27822	47181	4905	63197	6529
8600000US27823	ZCTA5 27823	27823	31951	3136	39855	3360
8600000US27824	ZCTA5 27824	27824	62577	33144	58400	14700
8600000US27825	ZCTA5 27825	27825	-	**	29341	20729
8600000US27826	ZCTA5 27826	27826	32297	15809	54079	25817
8600000US27827	ZCTA5 27827	27827	-	**	28232	13480
8600000US27828	ZCTA5 27828	27828	37305	8095	57123	5384
8600000US27829	ZCTA5 27829	27829	39130	5431	51227	6504
8600000US27830	ZCTA5 27830	27830	44366	5952	55868	4667
8600000US27831	ZCTA5 27831	27831	31062	3048	41048	6377
8600000US27832	ZCTA5 27832	27832	36089	4404	45626	5302
8600000US27834	ZCTA5 27834	27834	36360	1925	49882	2395
8600000US27837	ZCTA5 27837	27837	70453	13899	84803	12259
8600000US27839	ZCTA5 27839	27839	31051	2967	39716	5019
8600000US27840	ZCTA5 27840	27840	30573	5560	41185	15154
8600000US27841	ZCTA5 27841	27841	-	**	60617	41569
8600000US27842	ZCTA5 27842	27842	61806	11884	71291	10987
8600000US27843	ZCTA5 27843	27843	29904	8517	33293	5727
8600000US27844	ZCTA5 27844	27844	28170	2665	51456	12191
8600000US27845	ZCTA5 27845	27845	33750	8970	47240	8649
8600000US27846	ZCTA5 27846	27846	43984	8968	57824	8087
8600000US27847	ZCTA5 27847	27847	19632	15409	37800	15525
8600000US27849	ZCTA5 27849	27849	36125	6661	46443	9874
8600000US27850	ZCTA5 27850	27850	42176	2420	61011	6116
8600000US27851	ZCTA5 27851	27851	48547	9853	60624	7843
8600000US27852	ZCTA5 27852	27852	43906	14038	62675	14820
8600000US27853	ZCTA5 27853	27853	-	**	56313	25610
8600000US27855	ZCTA5 27855	27855	29971	2766	43975	5871
8600000US27856	ZCTA5 27856	27856	52729	6622	72122	8178
8600000US27857	ZCTA5 27857	27857	35588	7248	42959	5829
8600000US27858	ZCTA5 27858	27858	44751	3363	68155	4011
8600000US27860	ZCTA5 27860	27860	38750	12106	65016	29005
8600000US27861	ZCTA5 27861	27861	27188	12691	34788	13616
